amount;unit;flow;name;location
10000.0;EUR2005;6b7e58ca-8d06-49bd-8b8e-02673cda3297;market for diesel-electric generating set, 18.5kW;GLO
1.38917789606455;EUR2005;cad5dc4a-9fb5-4de7-a892-c0d456d0ba16;cast iron milling, small parts;RER
0.436;EUR2005;601aa448-72b2-4c2c-a05a-e185516d62a1;sugarcane processing, modern annexed plant;BR
0.7290000000000001;EUR2005;931288b5-8b40-4393-8421-f715faf39712;market for paper, woodfree, coated;RER
13967.67784102961;EUR2005;63e906ac-68d2-4ecd-a452-2115bd1c4d56;photovoltaic slanted-roof installation, 3kWp, a-Si, laminated, integrated, on roof;RoW
0.98;EUR2005;74c658d6-e983-46b2-91f6-f93565ebafc7;sodium fluoride production;GLO
0.1777443722012432;EUR2005;50e6bd6e-198b-4cf6-8e98-ed9e2cc03623;impact extrusion of steel, hot, 1 strokes;RER
0.205;EUR2005;609fae33-2e89-4b99-8129-b1f80a6dda33;natural gas pressure reduction, from high to low pressure;TR
829553.7169324936;EUR2005;30061140-566d-45e5-834f-1c6a344dd315;vegetable oil esterification facility construction;CH
1.95;EUR2005;044d1317-ada7-4837-bd5b-6924998b0797;toluene oxidation;RoW
1.4986037164726773;EUR2005;6b08f3b4-b76f-48b2-b73c-a115f1d14357;market for seawater reverse osmosis module;GLO
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, nuclear, pressure water reactor, heavy water moderated;AR
0.16600083000000002;EUR2005;a9007f10-7e39-4d50-8f4a-d6d03ce3d673;market for natural gas, high pressure;BE
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, lignite;CA-MB
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, nuclear, pressure water reactor, heavy water moderated;RU
0.756;EUR2005;198f9bb6-4268-4609-b85f-3f90f0d26d6d;paper production, woodfree, uncoated, 100% recycled content, at non-integrated mill;CA-QC
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hard coal;CL
0.00046;EUR2005;6ab2abde-801d-45a3-8ea3-455d0f01c3f4;water production, decarbonised;ZA
0.302;EUR2005;ffbb8dda-88f2-4c34-82b7-c596358efd77;market for fennel;GLO
0.107;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;market for electricity, low voltage;BA
0.0340395449274135;EUR2005;b0b26bf6-ed2c-4844-a0be-aa7cef435585;water pump operation, electric;FR
3.67;EUR2005;44defed2-3dc7-4d59-b3bc-23dacf1b9140;aluminium production, primary, ingot;IAI Area, EU27 & EFTA
0.107;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;electricity voltage transformation from medium to low voltage;CA-NS
4.45014909488184;EUR2005;95dec2c2-ddd6-4c04-8b60-a780dc03b222;market for powder coat, aluminium sheet;GLO
0.09770000000000005;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;market for electricity, high voltage;PY
0.7725244864510759;EUR2005;2d249425-34a4-40c6-8557-5b1ed0ebbd7a;wood preservation, dipping/immersion, solvent-based preservative, outdoor use, no ground contact;RoW
