amount;unit;comment;flow;name;location
0.297;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;6ad2240e-f820-4ac8-9596-97dac195cb3a;market for contouring, bronze;GLO
0.04402;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;68e26a5f-ffa6-4222-bce0-c156fe562fe0;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, R134a refrigerant, cooling;GLO
0.01946;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;46f4775b-0dee-4e49-8669-7108147c5f41;market for operation, computer, desktop, home use;GLO
2442.0;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;d262464c-5e85-433e-877d-c7e787ace057;photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof;RoW
0.473;EUR2005;Prices are calculated on basis of Import data (kg US$) from UN statistics (http://data.un.org ) Name of commodity: Herbicides, sprouting and growth regulators;f5707bdf-f7e2-479b-b3ea-99c04de8a927;monoammonium phosphate production;RoW
0.143;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;d710f3b0-f618-4627-83ed-bc53b82d26fc;market for transport, passenger car, medium size, liquefied petroleum gas, EURO 5;GLO
0.107;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;d69294d7-8d64-4915-a896-9996a014c410;market for electricity, low voltage;HN
0.01429;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;c1d6d100-e442-4e1e-a307-4c5afb894a4c;energy saving, from ventilation system, 6 x 120 m3/h, steel ducts;CH
0.37;EUR2005;"This is the average of the two gases that at the moment go to generic market of inert gas for discharge lamps: ""argon, crude, liquid"" and ""krypton, gaseous"". Other gases could be used for discharge lamps.";0e2dea51-7ebb-4cf8-8343-2db3e334195d;market for argon, crude, liquid;GLO
38274000.0;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;515dd20c-c5ae-4beb-a5f8-0b67918c28d6;mine construction, gold;ZA
0.03976;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;ae39ee61-d4d0-4cce-93b4-0745344da5fa;market for transport, freight, lorry 7.5-16 metric ton, EURO3;RER
