Filename;ActivityName;Location;ReferenceProduct
2889ef6b-ce79-52ff-bcdb-cabe3160d486_6296905b-1bc0-4b4d-99cd-d768ef341a6c.spold;treatment of high level radioactive waste for final repository;RoW;high level radioactive waste for final repository
3373503b-ff57-5fa4-b2cd-50242bb6510d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CL;electricity, medium voltage
fb9fcda3-5c3e-58d2-9b40-c8e8663d012c_4058ca6d-92c0-4ce5-bdc9-a3a96eeade93.spold;treatment of waste gypsum plasterboard, collection for final disposal;CH;waste gypsum plasterboard
d9be820e-2b07-5f72-97cd-22ddfa3b7fc8_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from US;CA;natural gas, high pressure
87c98fd4-1a19-5b05-992a-47b80932ea6a_34e08b94-8441-4260-b73a-83047ea6c25b.spold;process-specific burdens, inert material landfill;CH;process-specific burdens, inert material landfill
0deeed3f-535c-5679-91f6-21dfcfa3cb2b_7c4dafff-fe18-45c0-92e4-857950032abb.spold;market for inorganic potassium fertiliser, as K2O;PL;inorganic potassium fertiliser, as K2O
66485f20-a9fc-5c23-8aed-89916ba31026_27a9b2b8-30cd-45a6-bf1a-9c1f7afde003.spold;treatment of waste gypsum, inert material landfill;RoW;waste gypsum
8f0fa416-a711-5b2f-a751-9a082cff8dec_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;NG;electricity, medium voltage
0ae04aa5-eb6f-5ad6-9392-4b916e97a816_e9661fc2-f27f-4b41-87cc-2d55a4bee0cd.spold;flat glass production, uncoated;RER;flat glass, uncoated
13138355-6d7c-5237-a49a-dcd3f6ff41e1_34967617-78b9-4120-9fbc-b8bf2d3c115b.spold;tomato production, fresh grade, open field;RoW;tomato, fresh grade
b2f8fa1c-396b-5da8-9bfb-94da7ed34a2a_88afd721-07ec-4910-a004-fa3fecb6bf70.spold;market group for waste plastic, mixture;RER;waste plastic, mixture
4e58e9ec-ab85-5ba7-a626-2dd5eb6c888d_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;GH;land tenure, arable land, measured as carbon net primary productivity, perennial crop
339bf7c4-d824-5132-b713-df3b45e05f8e_5df09014-2ad5-467a-b48b-82e51d951f93.spold;market for used ventilation control and wiring decentralized unit;CH;used ventilation control and wiring decentralized unit
53000d75-1c69-58ef-8b92-0668bfab1603_705f483c-0d06-4f1c-9be9-7d54b88c4015.spold;market for propane, burned in building machine;GLO;propane, burned in building machine
